Id,Id2,Geography,Total,English Only,Spanish,French,French Creole,Portuguese,Russian,Chinese,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - Russian:,Estimate; Total: - Chinese:
1400000US12086001606,12086001606,"Census Tract 16.06, Miami-Dade County, Florida",4289,5.7,94.3,0.0,0.0,0.0,0.0,0.0,246,4043,0,0,0,0,0
1400000US12086001701,12086001701,"Census Tract 17.01, Miami-Dade County, Florida",4480,67.4,32.1,0.1,0.1,0.0,0.2,0.0,3019,1437,5,3,0,10,0
1400000US12086001702,12086001702,"Census Tract 17.02, Miami-Dade County, Florida",2487,68.2,31.0,0.0,0.8,0.0,0.0,0.0,1695,771,0,19,0,0,0
1400000US12086001703,12086001703,"Census Tract 17.03, Miami-Dade County, Florida",4961,7.1,92.4,0.0,0.4,0.0,0.0,0.0,353,4586,0,22,0,0,0
1400000US12086001801,12086001801,"Census Tract 18.01, Miami-Dade County, Florida",3974,81.9,18.1,0.0,0.0,0.0,0.0,0.0,3255,719,0,0,0,0,0
1400000US12086001802,12086001802,"Census Tract 18.02, Miami-Dade County, Florida",3972,70.2,29.6,0.0,0.3,0.0,0.0,0.0,2787,1175,0,10,0,0,0
1400000US12086001803,12086001803,"Census Tract 18.03, Miami-Dade County, Florida",2883,65.8,28.3,0.0,0.0,0.0,0.0,0.0,1896,817,0,0,0,0,0
1400000US12086001901,12086001901,"Census Tract 19.01, Miami-Dade County, Florida",3265,83.2,10.0,0.0,5.6,0.0,0.0,0.9,2715,326,0,182,0,0,29
1400000US12086001903,12086001903,"Census Tract 19.03, Miami-Dade County, Florida",3013,80.8,14.7,0.0,4.5,0.0,0.0,0.0,2436,442,0,135,0,0,0
1400000US12086001904,12086001904,"Census Tract 19.04, Miami-Dade County, Florida",3634,86.8,11.2,0.4,1.7,0.0,0.0,0.0,3154,406,13,61,0,0,0
1400000US12086002001,12086002001,"Census Tract 20.01, Miami-Dade County, Florida",3250,44.8,9.2,0.0,45.9,0.0,0.0,0.0,1457,300,0,1493,0,0,0
1400000US12086002003,12086002003,"Census Tract 20.03, Miami-Dade County, Florida",3531,46.8,16.4,1.3,34.4,0.0,0.0,0.0,1653,578,45,1213,1,1,0
1400000US12086002004,12086002004,"Census Tract 20.04, Miami-Dade County, Florida",2850,27.7,32.0,1.0,39.4,0.0,0.0,0.0,789,911,28,1122,0,0,0
1400000US12086002100,12086002100,"Census Tract 21, Miami-Dade County, Florida",2655,54.4,36.4,2.4,1.8,0.0,0.3,0.0,1444,967,63,49,0,9,0
1400000US12086002201,12086002201,"Census Tract 22.01, Miami-Dade County, Florida",3688,32.0,36.3,0.9,27.3,2.0,0.0,0.0,1180,1338,32,1008,73,0,0
1400000US12086002202,12086002202,"Census Tract 22.02, Miami-Dade County, Florida",5941,37.3,30.7,1.3,28.6,1.2,0.6,0.0,2218,1823,77,1697,70,37,0
1400000US12086002300,12086002300,"Census Tract 23, Miami-Dade County, Florida",4381,79.3,18.3,0.0,1.9,0.1,0.0,0.0,3472,802,0,85,5,0,0
1400000US12086002402,12086002402,"Census Tract 24.02, Miami-Dade County, Florida",5187,12.2,87.4,0.0,0.3,0.0,0.0,0.0,635,4535,0,17,0,0,0
1400000US12086002403,12086002403,"Census Tract 24.03, Miami-Dade County, Florida",4264,12.5,86.1,0.0,1.4,0.0,0.0,0.0,531,3673,0,60,0,0,0
1400000US12086002404,12086002404,"Census Tract 24.04, Miami-Dade County, Florida",4575,12.8,84.7,0.2,2.0,0.0,0.0,0.0,587,3875,7,91,0,0,0
1400000US12086002501,12086002501,"Census Tract 25.01, Miami-Dade County, Florida",4568,17.7,74.1,0.0,7.3,0.2,0.0,0.0,808,3385,0,332,10,0,2
1400000US12086002502,12086002502,"Census Tract 25.02, Miami-Dade County, Florida",4733,33.0,58.9,1.6,6.3,0.0,0.0,0.0,1561,2789,77,298,0,0,0
1400000US12086002600,12086002600,"Census Tract 26, Miami-Dade County, Florida",5974,26.4,65.5,0.8,5.2,0.0,0.2,0.0,1580,3912,47,309,0,13,0
1400000US12086002702,12086002702,"Census Tract 27.02, Miami-Dade County, Florida",3170,27.1,69.3,0.0,1.8,0.0,0.0,0.0,860,2197,0,58,0,0,0
